Height,Width,Length,Colour Scheme,Maker Elf ID,Checker Elf ID,Defective
5.1,3.97,11.4,"Purple",6,14,True
9.94,1.39,12.98,"Green",10,19,True
9.85,2.93,8.49,"Pink",8,11,True
6.67,2.42,11.21,"Yellow",10,11,False
8.77,2.86,7.45,"Purple",10,6,True
2.24,1.3,8.63,"Purple",3,1,False
7.32,1.28,13.01,"Orange",14,14,False
4.69,1.39,11.84,"Orange",6,7,False
5.88,3.19,14.37,"Purple",5,13,False
7.35,2.98,13.74,"Pink",6,4,False
5.33,2.84,15.68,"Green",2,8,False
7.07,2.78,9.64,"Purple",6,18,True
7.63,3.01,9.11,"Blue",7,1,False
6.96,1.15,11.03,"Green",6,11,False
4.23,2.62,15.03,"Red",15,3,False
5.38,1.88,13.16,"Green",15,10,False
5.6,1.47,15.98,"Blue",7,4,False
10.54,5.47,8.73,"Pink",9,7,True
3.43,3.55,15.03,"Blue",10,13,False
4.84,2.84,11.77,"Pink",1,8,False
6.74,2.53,8.03,"Yellow",11,8,False
6.99,2.97,9.28,"Orange",13,10,False
5.16,2.55,12.68,"Orange",5,3,False
8.59,3.28,10.75,"Yellow",9,12,True
5.94,3.16,11.0,"Red",13,6,False
7.4,2.53,11.53,"Purple",3,5,False
4.36,1.06,10.81,"Purple",11,11,True
5.16,1.12,11.92,"Yellow",15,8,False
2.07,1.08,10.98,"Red",1,5,False
11.16,2.53,9.09,"Purple",11,2,True
8.28,5.52,7.36,"Pink",13,9,True
9.68,1.55,15.69,"Yellow",10,5,False
9.07,2.45,10.32,"Green",13,5,False
2.96,1.11,14.84,"Orange",12,9,False
9.06,2.09,8.29,"Pink",15,7,False
2.01,2.56,11.6,"Red",3,10,False
3.23,3.55,11.1,"Green",10,3,False
4.09,1.92,9.55,"Red",11,1,False
2.05,3.27,10.32,"Blue",1,14,False
3.96,1.07,10.0,"Orange",7,10,False
4.89,2.23,8.79,"Pink",7,9,False
7.46,1.92,12.59,"Green",2,9,False
4.01,3.36,15.84,"Purple",3,2,False
8.81,2.91,8.38,"Pink",2,12,True
5.27,1.32,8.47,"Pink",1,2,False
4.46,3.7,10.38,"Pink",7,11,False
9.89,3.09,13.75,"Pink",15,13,False
8.43,2.32,9.78,"Orange",9,4,False
5.82,3.53,11.72,"Orange",7,15,False
6.02,1.07,12.16,"Orange",2,5,False
4.82,3.68,10.83,"Pink",3,6,False
6.65,3.89,10.51,"Purple",13,7,False
2.44,3.64,14.54,"Pink",10,10,False
8.24,1.77,9.56,"Orange",2,4,False
7.13,3.34,9.4,"Blue",4,5,False
3.29,1.61,14.79,"Pink",14,11,False
3.27,2.91,9.91,"Orange",14,14,False
3.4,1.48,8.11,"Orange",3,4,False
8.78,4.25,9.8,"Yellow",17,5,True
3.33,2.55,15.91,"Orange",5,14,False
5.15,1.31,8.51,"Red",5,13,True
6.45,3.42,11.48,"Yellow",10,13,False
6.58,3.28,9.87,"Green",5,10,False
3.84,1.97,15.14,"Pink",4,2,False
4.58,1.09,11.85,"Blue",7,14,False
5.61,1.35,12.85,"Green",7,11,False
8.96,1.75,10.93,"Blue",13,4,False
4.45,3.95,8.73,"Purple",12,2,False
5.96,1.3,10.61,"Yellow",13,11,False
5.55,2.5,15.72,"Blue",14,6,False
4.66,2.27,13.22,"Purple",1,13,True
2.6,2.67,8.46,"Red",11,13,False
5.45,2.5,10.18,"Blue",4,13,False
11.75,3.35,8.28,"Purple",6,13,True
7.39,2.24,15.2,"Blue",12,15,False
8.02,5.85,13.33,"Red",6,8,True
3.21,2.08,10.88,"Blue",7,4,False
6.07,2.8,10.72,"Orange",2,5,False
2.63,2.86,9.94,"Green",6,6,False
2.7,2.93,11.98,"Pink",12,11,False
9.66,2.74,11.34,"Purple",12,10,False
3.35,1.2,8.97,"Orange",14,2,False
2.71,1.11,15.52,"Red",9,4,False
5.08,2.0,11.42,"Red",10,15,False
5.06,3.71,9.27,"Purple",1,4,True
3.97,3.42,9.2,"Orange",12,12,False
6.1,2.32,13.03,"Purple",6,5,False
8.71,4.27,8.41,"Orange",6,8,True
7.3,2.42,8.11,"Blue",9,3,False
5.56,2.4,10.65,"Pink",7,14,False
2.79,3.69,12.28,"Yellow",5,3,False
6.41,1.29,9.7,"Red",8,3,False
11.67,3.52,12.09,"Orange",8,2,True
7.99,1.29,9.41,"Green",8,15,False
7.82,1.04,11.44,"Orange",6,11,False
7.47,2.02,10.55,"Purple",10,9,False
6.88,3.05,9.36,"Green",10,3,False
5.0,2.81,13.69,"Orange",13,12,False
5.17,3.14,10.77,"Blue",8,5,False
9.97,1.99,12.75,"Pink",1,5,False
6.78,1.85,13.1,"Green",6,15,False
7.51,1.5,8.05,"Orange",14,9,False
11.14,3.32,10.93,"Purple",9,12,True
3.56,2.68,8.74,"Orange",5,15,False
3.6,4.65,10.37,"Orange",14,11,True
4.67,2.98,14.62,"Orange",8,5,False
6.59,3.76,10.39,"Red",9,12,False
4.8,2.18,14.32,"Orange",14,13,False
8.69,1.08,8.02,"Blue",15,9,False
7.47,3.61,10.0,"Yellow",6,13,False
2.68,2.44,10.75,"Pink",5,14,False
8.21,1.84,8.98,"Blue",6,6,False
7.04,1.69,8.59,"Green",8,12,False
3.14,1.34,14.17,"Purple",2,9,False
4.3,2.41,15.05,"Green",11,1,False
9.84,2.78,9.31,"Red",1,4,False
4.59,1.78,15.4,"Blue",13,15,False
5.9,2.01,13.07,"Pink",12,5,False
7.16,3.69,15.95,"Red",6,1,False
4.3,1.38,10.53,"Blue",1,2,False
3.5,2.0,11.84,"Pink",5,12,False
8.18,1.28,14.83,"Purple",13,1,False
8.98,5.7,9.55,"Orange",11,14,True
9.31,2.51,15.96,"Blue",5,3,False
5.32,1.69,8.53,"Pink",5,10,False
2.61,1.58,12.11,"Purple",3,1,False
7.71,1.71,9.2,"Green",10,13,False
4.33,2.69,10.98,"Orange",6,1,False
9.03,2.46,16.0,"Blue",4,12,False
9.57,1.25,11.49,"Green",15,10,False
2.1,2.03,11.61,"Purple",14,4,True
6.79,3.72,9.04,"Red",15,11,False
7.46,3.51,9.07,"Green",4,1,False
7.2,2.82,7.61,"Green",15,1,True
7.39,2.13,11.24,"Green",6,12,False
2.7,3.55,11.25,"Blue",15,14,False
4.48,3.11,5.0,"Green",15,14,True
8.54,1.98,12.67,"Orange",7,14,False
9.98,2.96,12.95,"Purple",2,18,True
5.62,1.59,12.08,"Red",1,13,False
8.88,1.88,14.57,"Orange",15,4,False
9.14,2.47,8.77,"Purple",9,10,False
9.56,1.8,8.27,"Orange",14,15,True
5.65,1.94,8.77,"Pink",9,13,False
4.11,2.49,9.91,"Yellow",11,11,False
4.14,3.33,13.17,"Green",13,12,False
6.96,1.77,12.58,"Red",2,14,False
2.35,2.26,8.67,"Orange",3,8,False
4.5,3.89,15.78,"Pink",14,7,False
5.5,3.73,9.93,"Pink",9,6,False
6.92,2.76,7.31,"Blue",3,7,True
6.06,3.81,8.25,"Green",1,11,False
8.72,3.09,11.6,"Purple",15,12,False
3.42,2.25,14.86,"Purple",14,5,False
9.23,5.92,13.69,"Pink",14,19,True
4.33,3.06,4.65,"Red",2,15,True
4.54,3.33,9.26,"Green",10,8,False
6.61,3.74,8.09,"Purple",4,3,False
8.45,2.96,10.77,"Pink",6,11,False
7.12,4.69,9.69,"Orange",4,18,True
7.88,2.81,10.36,"Green",1,2,False
6.38,1.78,11.86,"Yellow",5,10,False
5.98,2.41,15.1,"Orange",3,11,False
8.43,2.74,8.5,"Yellow",10,9,False
8.05,2.78,9.38,"Green",13,4,False
7.59,1.02,14.25,"Green",1,9,False
5.52,2.23,8.56,"Blue",8,12,False
3.49,3.31,9.61,"Purple",15,6,False
6.2,1.45,14.19,"Yellow",1,8,False
3.38,4.11,10.51,"Blue",8,4,True
7.39,2.56,13.77,"Blue",6,11,False
6.65,1.54,11.2,"Orange",14,2,False
10.93,2.06,8.16,"Red",15,2,True
7.18,1.8,14.03,"Orange",6,1,False
5.01,2.03,8.62,"Purple",4,12,False
11.25,3.34,8.06,"Pink",3,6,True
8.17,1.27,9.3,"Green",5,4,False
11.18,1.45,8.9,"Blue",14,10,True
5.96,2.67,11.96,"Orange",7,6,False
7.75,1.87,14.64,"Green",11,10,False
8.43,2.58,13.42,"Purple",11,4,False
7.51,1.52,13.83,"Blue",10,13,False
7.77,3.73,15.7,"Blue",8,8,False
3.34,2.7,14.8,"Red",6,7,False
9.22,3.26,11.85,"Purple",6,12,False
9.0,3.7,15.2,"Red",9,5,False
3.28,3.49,15.73,"Red",7,12,False
8.99,1.6,13.52,"Yellow",14,15,False
6.08,2.07,12.76,"Yellow",7,15,False
3.3,2.61,12.82,"Green",9,2,False
3.29,2.31,15.66,"Red",8,8,False
2.76,1.6,11.48,"Red",13,8,False
9.6,2.46,14.26,"Pink",4,17,True
5.42,3.81,13.37,"Pink",5,15,False
3.15,2.9,13.22,"Purple",12,4,False
3.85,3.29,9.17,"Yellow",12,14,False
4.06,3.32,9.87,"Yellow",15,6,False
5.82,1.18,12.81,"Blue",4,4,False
6.09,3.22,13.48,"Green",15,1,False
6.35,3.52,8.64,"Green",13,3,False
7.95,2.4,15.07,"Blue",8,5,False
4.84,2.2,9.56,"Yellow",2,10,False
9.92,3.83,9.65,"Green",11,9,True
9.09,3.42,11.16,"Red",14,8,True
5.12,2.9,12.98,"Pink",14,13,False
5.23,2.96,9.07,"Purple",4,15,False
6.76,1.16,15.33,"Blue",2,15,False
8.7,3.93,10.29,"Purple",11,12,False
6.99,3.68,15.96,"Yellow",6,7,False
3.59,1.47,11.15,"Purple",12,1,False
6.18,1.75,15.72,"Blue",8,15,False
6.16,3.93,13.3,"Pink",11,5,False
8.57,2.77,15.01,"Green",3,2,False
8.36,1.68,8.54,"Red",4,15,False
5.71,3.53,11.8,"Blue",8,2,False
7.22,2.97,8.75,"Green",7,12,False
5.77,2.88,15.69,"Blue",2,15,False
8.22,1.35,15.44,"Blue",13,2,True
6.77,3.03,8.36,"Orange",9,14,False
4.36,3.77,13.06,"Pink",3,15,False
2.05,1.06,15.54,"Pink",6,4,False
8.93,3.28,5.53,"Green",8,11,True
2.51,3.17,11.4,"Green",11,6,False
8.16,3.37,12.77,"Green",7,13,True
8.83,1.44,8.59,"Red",15,10,False
8.87,3.01,7.52,"Green",2,7,True
10.21,3.38,4.71,"Green",9,11,True
9.67,3.37,15.77,"Blue",3,8,False
9.57,3.81,8.07,"Green",2,12,False
4.72,1.32,11.52,"Red",6,8,False
5.8,3.63,12.41,"Pink",15,7,False
5.24,2.2,10.24,"Red",13,3,False
8.45,4.19,11.22,"Blue",8,13,True
2.18,3.63,8.38,"Purple",10,2,False
4.47,3.63,9.43,"Green",8,8,False
8.07,1.38,11.02,"Orange",7,4,False
4.78,2.12,10.19,"Pink",2,8,False
6.58,3.11,14.08,"Pink",2,1,False
8.37,1.72,13.96,"Red",6,15,False
8.01,2.6,11.53,"Yellow",10,4,True
4.82,1.76,13.5,"Purple",9,11,True
3.0,3.67,14.61,"Orange",12,11,False
6.86,3.32,13.72,"Green",7,15,False
4.92,1.06,9.6,"Yellow",9,13,False
2.15,1.77,13.41,"Orange",14,15,False
9.77,2.9,11.87,"Yellow",4,14,False
4.73,1.71,10.16,"Orange",2,1,False
2.85,1.6,9.95,"Pink",14,4,False
7.98,1.64,15.06,"Red",15,6,False
3.27,1.26,8.35,"Yellow",8,5,False
6.56,2.27,9.32,"Orange",15,5,False
6.12,3.61,9.98,"Yellow",4,1,False
5.0,1.37,14.85,"Blue",13,5,False
9.66,2.07,13.08,"Red",12,11,False
4.51,5.66,11.92,"Orange",15,16,True
5.58,1.19,11.22,"Purple",4,1,False
5.54,3.51,9.48,"Red",15,12,False
6.51,1.56,9.12,"Green",5,10,False
5.37,3.29,9.04,"Red",4,2,False
7.63,1.08,13.66,"Purple",9,9,False
7.19,2.96,8.02,"Red",11,8,True
6.28,3.64,10.78,"Orange",2,4,False
8.2,3.23,10.54,"Green",15,12,False
9.64,2.7,5.22,"Blue",18,13,True
5.93,2.38,9.5,"Orange",11,3,False
7.3,1.22,11.45,"Green",9,3,False
9.43,5.4,9.82,"Pink",15,19,True
7.03,3.65,9.83,"Green",14,1,False
10.99,4.98,15.57,"Green",2,10,True
6.05,4.43,11.6,"Purple",2,13,True
4.83,1.2,11.52,"Red",14,14,False
4.21,3.8,11.94,"Orange",6,13,True
3.39,3.19,10.31,"Blue",15,9,False
9.84,1.14,14.21,"Pink",10,7,False
10.38,3.92,8.66,"Orange",15,12,True
4.7,2.54,13.34,"Purple",6,12,False
5.87,1.64,9.9,"Orange",12,15,True
8.47,1.38,12.25,"Blue",12,3,False
2.28,2.14,12.05,"Pink",8,14,False
3.55,3.12,12.28,"Red",9,2,False
2.54,1.52,15.17,"Blue",13,6,False
7.15,2.19,10.31,"Red",11,5,False
4.18,1.2,12.57,"Orange",14,10,False
7.83,2.76,12.2,"Green",9,10,False
3.81,2.74,11.82,"Green",1,4,False
4.11,2.69,14.68,"Blue",12,6,False
2.39,1.99,14.96,"Red",6,12,False
7.05,2.97,13.0,"Blue",11,2,False
9.96,1.16,9.59,"Purple",11,7,False
3.15,5.46,9.13,"Purple",5,7,True
7.38,3.74,15.88,"Pink",1,8,False
6.71,2.91,11.02,"Blue",12,13,False
7.31,3.87,14.72,"Pink",5,1,False
5.81,2.91,12.72,"Yellow",1,5,False
3.88,2.3,9.9,"Purple",5,6,False
6.82,3.97,15.51,"Yellow",12,12,False
4.39,2.48,15.2,"Green",7,13,False
8.92,2.57,10.24,"Blue",3,4,False
3.98,2.24,8.73,"Orange",12,12,False
6.61,1.71,8.32,"Yellow",2,9,False
5.45,2.52,12.59,"Purple",13,3,False
7.38,1.17,12.1,"Yellow",11,9,False
8.77,3.37,9.63,"Yellow",9,3,False
11.88,2.69,10.83,"Yellow",11,18,True
7.64,1.63,15.23,"Pink",7,13,False
7.45,2.04,15.48,"Red",7,3,False
7.23,3.07,11.74,"Purple",4,14,False
4.07,2.8,11.93,"Blue",7,6,False
8.97,1.44,9.67,"Purple",12,13,False
9.11,3.1,14.9,"Red",4,4,False
4.97,1.15,13.77,"Purple",8,5,False
9.84,3.12,12.0,"Orange",2,9,True
8.8,2.66,8.92,"Yellow",2,11,False
8.3,2.58,9.96,"Red",10,8,False
9.62,2.72,9.38,"Orange",2,10,False
5.19,3.96,15.74,"Green",14,1,False
2.29,2.64,12.35,"Yellow",5,7,False
11.46,1.74,4.37,"Blue",8,13,True
8.42,1.9,9.23,"Green",14,6,False
2.75,4.0,15.16,"Orange",2,3,False
5.77,1.64,10.34,"Red",4,12,False
3.14,1.49,9.25,"Pink",4,13,False
8.11,1.26,12.42,"Green",14,8,False
5.97,1.83,13.07,"Red",10,12,False
7.02,2.39,14.31,"Orange",5,6,False
8.09,3.06,10.24,"Purple",7,8,False
4.55,3.26,11.32,"Red",1,2,False
6.17,2.66,15.86,"Red",4,7,False
11.62,4.16,10.89,"Green",5,9,True
2.71,2.61,8.78,"Pink",15,10,False
4.51,2.8,15.96,"Red",8,10,True
8.92,1.32,12.23,"Red",2,14,True
3.14,2.84,11.51,"Yellow",10,15,False
8.74,3.33,10.49,"Pink",3,11,False
2.61,3.09,13.34,"Yellow",4,4,False
3.73,1.08,14.15,"Pink",1,6,False
7.19,2.0,14.33,"Pink",2,14,False
7.57,2.24,13.27,"Pink",14,6,False
4.72,3.12,10.01,"Purple",9,10,False
4.73,2.43,9.92,"Purple",17,6,True
6.82,2.74,12.32,"Blue",14,2,False
9.49,3.43,8.12,"Green",12,11,False
8.51,2.14,12.84,"Orange",6,7,False
3.38,3.04,15.6,"Orange",13,12,False
5.88,1.1,12.49,"Blue",7,12,False
4.02,1.65,9.76,"Pink",14,9,False
7.53,5.32,12.66,"Blue",1,3,True
7.14,1.13,15.29,"Green",6,4,False
4.82,3.06,12.54,"Blue",5,10,False
4.38,3.58,15.16,"Pink",5,9,False
8.36,2.01,15.47,"Blue",11,7,True
9.88,2.3,15.38,"Orange",15,8,False
3.39,3.63,8.96,"Red",9,2,False
3.7,2.49,14.75,"Green",1,14,False
4.22,3.62,14.56,"Yellow",12,10,False
4.64,2.53,9.61,"Red",1,2,False
6.32,1.87,8.15,"Red",8,5,False
2.09,3.09,9.86,"Purple",14,4,False
9.2,1.7,15.64,"Red",2,5,True
9.02,3.36,12.28,"Yellow",7,4,False
2.17,1.18,15.63,"Orange",13,5,False
8.25,3.27,11.54,"Red",10,14,False
10.38,3.21,15.06,"Yellow",19,7,True
5.92,2.57,11.79,"Blue",12,3,False
6.89,1.46,15.23,"Red",9,12,False
2.83,3.59,13.76,"Green",15,1,False
5.44,2.24,11.44,"Orange",12,14,False
8.24,3.87,10.65,"Green",10,15,False
2.43,3.24,9.66,"Blue",9,1,True
7.93,1.95,13.88,"Red",9,4,False
5.58,1.08,14.79,"Pink",13,16,True
4.12,2.06,12.23,"Red",1,13,False
5.55,2.17,14.5,"Purple",1,9,False
3.61,1.6,4.63,"Purple",14,19,True
7.66,3.41,8.09,"Green",8,14,False
8.62,2.65,8.09,"Blue",15,7,True
4.3,3.03,13.15,"Yellow",8,3,False
7.16,2.5,10.06,"Yellow",7,5,False
8.65,1.78,8.56,"Yellow",3,10,False
7.19,3.43,10.6,"Yellow",11,4,False
5.16,1.12,13.76,"Green",11,13,False
7.55,3.31,15.25,"Blue",5,2,False
6.35,1.42,8.88,"Green",12,5,False
3.36,5.23,15.84,"Yellow",2,7,True
8.1,1.42,14.03,"Blue",9,6,False
11.92,2.19,7.39,"Yellow",4,8,True
8.83,3.15,10.2,"Purple",14,12,False
3.98,2.58,14.68,"Blue",7,4,False
6.72,2.05,14.51,"Purple",6,3,False
3.56,1.3,14.12,"Orange",10,8,False
9.05,2.67,9.04,"Orange",2,2,False
9.67,1.67,12.14,"Pink",8,3,False
5.54,3.13,11.48,"Green",8,5,False
9.51,2.07,8.44,"Yellow",2,6,False
7.04,3.32,9.47,"Purple",15,13,False
4.2,2.25,12.95,"Pink",13,4,False
2.27,3.59,13.92,"Pink",11,2,True
4.73,2.06,15.65,"Pink",10,4,False
2.58,2.29,11.55,"Orange",8,8,False
2.6,3.61,13.44,"Blue",10,11,False
7.02,3.25,14.86,"Red",3,5,False
6.3,2.42,13.35,"Orange",10,2,False
9.49,2.08,14.53,"Blue",13,4,False
8.8,2.35,4.93,"Blue",8,14,True
2.36,2.02,9.18,"Pink",12,10,False
5.1,1.39,10.86,"Purple",1,10,False
8.88,3.37,8.75,"Blue",8,1,False
8.87,2.06,13.66,"Pink",13,7,False
6.98,1.23,12.59,"Green",15,2,False
7.2,2.32,10.8,"Yellow",8,10,False
9.28,1.96,10.19,"Green",14,14,False
5.38,1.43,14.5,"Yellow",12,13,False
7.07,1.39,8.29,"Blue",11,4,False
4.06,3.47,13.18,"Orange",4,6,False
10.76,2.85,13.41,"Pink",18,1,True
8.29,3.37,15.22,"Red",12,14,False
6.51,2.1,11.94,"Pink",9,10,False
5.55,1.33,10.73,"Yellow",15,14,False
8.68,3.96,15.59,"Blue",4,6,False
8.19,3.11,10.32,"Green",6,7,False
6.4,3.99,9.81,"Blue",15,16,True
6.37,2.23,4.76,"Red",12,14,True
3.83,3.17,12.25,"Green",7,4,False
8.18,1.02,10.22,"Yellow",5,1,False
7.02,1.28,10.66,"Green",4,1,False
6.97,2.16,13.58,"Purple",15,10,True
9.49,3.65,13.26,"Blue",10,5,False
10.18,3.07,4.37,"Blue",7,7,True
8.66,3.0,14.44,"Orange",8,4,False
9.08,2.29,14.36,"Yellow",8,6,False
7.5,3.61,12.85,"Orange",7,12,False
6.78,3.07,11.73,"Purple",10,6,False
5.55,1.68,8.46,"Yellow",8,7,False
9.09,3.2,8.16,"Green",9,6,False
9.39,2.94,4.53,"Red",14,5,True
3.89,2.32,8.91,"Blue",1,10,False
6.85,2.27,11.37,"Orange",4,14,False
9.27,3.86,15.11,"Yellow",6,1,True
8.67,2.76,11.58,"Purple",11,3,False
7.51,1.27,13.58,"Pink",6,3,True
8.73,1.14,8.37,"Orange",8,3,False
2.21,3.88,12.05,"Red",1,10,False
2.07,1.05,9.97,"Blue",9,8,False
8.11,2.15,8.7,"Pink",12,13,False
2.74,2.85,10.16,"Yellow",1,10,False
5.29,1.24,10.89,"Red",4,15,False
5.33,1.42,12.81,"Yellow",10,3,False
5.48,3.55,14.54,"Pink",7,8,False
7.62,1.87,13.93,"Red",15,14,False
2.14,1.23,10.3,"Green",7,5,False
10.0,1.45,13.26,"Orange",8,15,True
8.93,3.5,15.44,"Orange",13,4,False
2.06,3.8,8.87,"Green",14,7,False
8.91,3.12,13.18,"Yellow",1,13,False
8.31,1.65,8.11,"Yellow",11,13,False
5.56,1.37,11.03,"Purple",8,6,False
6.72,2.28,8.17,"Yellow",9,11,False
8.88,3.96,8.43,"Blue",4,4,False
3.59,2.07,16.0,"Pink",6,8,False
5.34,3.19,14.09,"Yellow",10,15,False
8.5,3.32,13.78,"Pink",15,11,False
4.26,3.68,14.28,"Green",15,15,False
2.74,3.09,14.31,"Pink",8,1,False
7.47,4.0,10.96,"Pink",12,5,False
4.96,1.42,8.42,"Yellow",8,3,False
8.69,3.56,8.92,"Orange",8,4,False
3.36,3.81,13.93,"Blue",17,2,True
7.69,2.74,11.51,"Orange",13,1,False
3.75,1.58,9.6,"Green",11,10,False
4.92,3.16,8.4,"Pink",6,9,False
3.09,2.76,8.89,"Purple",12,10,False
6.31,2.76,10.73,"Blue",9,7,False
3.8,2.88,15.26,"Red",10,2,False
8.0,3.33,10.48,"Green",3,13,True
5.97,3.61,10.9,"Purple",14,2,False
5.34,3.16,14.8,"Red",9,6,False
3.67,2.11,13.93,"Pink",6,15,False
7.97,1.21,9.77,"Orange",7,11,False
2.34,4.88,15.85,"Pink",16,6,True
5.55,2.17,9.24,"Red",9,6,False
10.9,2.8,12.93,"Yellow",8,2,True
7.6,2.32,8.51,"Blue",1,6,False
7.25,2.44,12.67,"Blue",8,5,False
7.5,1.66,11.75,"Blue",6,10,False
3.72,3.15,12.57,"Purple",6,6,False
6.55,2.59,13.53,"Pink",3,7,False
6.36,2.68,11.2,"Pink",6,8,False
4.22,3.77,14.96,"Blue",15,13,False
6.75,3.26,14.58,"Green",11,5,False
4.91,1.08,10.01,"Yellow",13,15,False
3.82,2.52,14.64,"Orange",2,4,False
6.66,2.55,13.08,"Pink",14,10,False
9.6,2.21,12.51,"Pink",8,11,True
4.17,1.79,15.01,"Pink",13,12,False
7.5,3.68,11.51,"Blue",6,13,False
4.56,3.99,12.77,"Green",2,2,False
2.52,1.64,11.25,"Yellow",13,6,False
8.04,2.51,9.22,"Pink",7,9,False
9.58,5.36,11.64,"Pink",12,11,True
7.49,3.94,9.61,"Green",7,7,False
4.78,1.59,11.65,"Green",7,6,False
6.89,2.47,8.71,"Purple",2,8,True
9.65,2.93,15.89,"Red",7,11,False
8.64,2.44,10.3,"Blue",7,2,False
7.28,3.4,10.65,"Green",9,8,False
3.79,1.07,9.47,"Green",4,2,False
11.75,1.74,15.51,"Pink",13,10,True
5.75,2.21,9.33,"Red",3,13,True
8.38,2.57,9.19,"Blue",13,10,False
3.52,3.86,8.86,"Red",3,8,False
3.22,3.68,9.3,"Blue",14,2,True
4.13,3.6,8.38,"Yellow",1,6,False
2.53,1.53,9.09,"Blue",13,3,False
6.6,1.81,12.22,"Yellow",7,4,False
3.69,3.24,14.85,"Pink",4,18,True
8.62,3.35,11.02,"Red",1,11,False
5.76,3.6,8.71,"Purple",4,5,False
8.25,1.92,14.07,"Purple",1,14,True
2.0,3.76,9.77,"Orange",7,13,False
9.21,2.19,15.25,"Blue",14,2,False
6.77,1.35,11.76,"Red",8,6,False
2.94,2.17,12.84,"Green",3,14,False
8.7,1.62,12.29,"Pink",2,15,False
5.12,2.16,14.13,"Blue",11,13,False
4.92,3.0,14.48,"Blue",11,6,False
5.11,3.28,13.31,"Pink",8,4,False
9.39,3.28,13.09,"Yellow",9,7,False
2.08,2.22,13.42,"Red",10,7,False
2.74,1.33,8.12,"Green",2,14,False
2.68,2.1,11.1,"Blue",2,15,False
8.93,2.37,7.46,"Orange",12,14,True
7.54,3.67,12.98,"Green",4,2,False
10.08,4.07,13.85,"Purple",10,10,True
5.56,2.22,10.93,"Orange",11,1,False
3.09,2.72,11.39,"Yellow",4,3,True
7.78,3.75,13.45,"Blue",9,6,False
8.2,2.71,11.63,"Green",8,5,False
9.17,2.55,8.93,"Purple",14,5,True
7.38,3.93,13.97,"Yellow",2,14,False
4.38,3.76,11.66,"Red",1,13,False
8.97,3.78,10.12,"Red",9,7,False
9.64,3.28,9.15,"Yellow",2,4,False
4.04,1.62,12.8,"Pink",1,5,False
3.84,1.26,11.97,"Blue",14,8,False
2.64,2.38,9.71,"Red",11,10,True
5.15,1.24,15.16,"Red",5,5,False
2.19,3.42,13.07,"Green",8,4,False
6.14,3.04,9.55,"Blue",5,13,False
6.64,1.01,13.28,"Green",7,4,False
7.96,2.05,14.79,"Red",12,4,False
2.68,1.63,13.79,"Orange",9,3,False
4.41,3.93,8.02,"Yellow",4,9,False
8.07,1.45,5.87,"Red",17,16,True
2.93,3.28,11.17,"Blue",9,6,False
8.08,1.1,13.94,"Blue",4,2,False
7.39,3.84,14.75,"Yellow",12,3,False
7.51,2.68,14.6,"Purple",9,15,False
5.12,3.85,8.74,"Blue",1,4,False
3.93,1.38,13.69,"Orange",8,12,True
5.89,1.62,10.55,"Red",15,1,False
2.21,3.82,8.47,"Yellow",1,1,False
7.85,2.87,12.58,"Green",5,11,False
5.56,3.07,14.65,"Green",10,7,False
8.41,2.52,12.46,"Red",3,9,False
2.29,3.54,15.37,"Purple",3,3,False
2.48,2.38,15.97,"Green",6,2,True
6.15,1.47,10.72,"Yellow",13,2,False
4.99,3.96,11.56,"Orange",2,12,False
5.31,1.14,13.47,"Yellow",7,14,False
9.79,3.65,10.29,"Blue",3,11,False
8.6,3.95,9.69,"Pink",14,1,False
7.98,3.08,14.06,"Blue",16,7,True
9.36,3.64,11.33,"Yellow",10,1,False
6.55,1.72,9.51,"Orange",7,3,False
3.08,4.53,4.3,"Purple",14,5,True
8.42,1.87,11.57,"Orange",10,1,False
7.92,1.99,15.71,"Pink",5,11,False
9.35,1.21,14.66,"Pink",11,3,False
7.87,2.51,11.15,"Pink",6,14,False
4.43,3.99,15.45,"Green",9,7,False
3.0,1.74,9.48,"Purple",12,11,False
7.83,1.2,14.28,"Green",14,5,False
5.46,2.54,15.27,"Red",9,6,False
9.85,3.28,12.29,"Blue",7,14,True
5.01,2.99,9.16,"Blue",11,10,False
2.48,2.26,15.08,"Yellow",14,5,False
2.69,3.55,13.76,"Green",4,5,False
4.33,1.89,13.95,"Red",10,9,True
6.62,1.75,8.99,"Green",10,3,False
6.36,1.46,9.83,"Purple",6,5,False
2.03,2.47,12.18,"Yellow",12,18,True
2.64,3.53,4.8,"Blue",12,19,True
3.25,2.03,12.02,"Yellow",2,1,False
9.76,3.87,14.28,"Blue",11,4,False
6.63,3.94,12.98,"Green",13,11,False
8.71,5.88,12.35,"Red",15,2,True
2.07,1.87,12.29,"Purple",4,10,False
6.54,2.3,13.33,"Purple",3,9,False
3.08,3.87,14.3,"Red",13,15,False
3.22,1.97,7.85,"Green",13,14,True
7.96,3.39,8.57,"Yellow",9,4,False
5.94,2.2,9.96,"Pink",8,10,False
9.43,5.97,15.44,"Red",13,2,True
2.33,3.73,13.4,"Red",10,11,True
9.41,3.64,12.09,"Purple",4,5,False
5.18,2.04,14.12,"Red",4,13,False
8.8,3.97,8.95,"Blue",11,1,True
8.38,3.83,9.72,"Green",9,3,False
8.47,2.64,13.16,"Pink",16,12,True
2.49,3.85,9.32,"Red",5,13,False
3.91,2.86,10.06,"Green",8,4,False
